Date,City,State,Position,Shape,Duration,Summary,DayOfYear,DayOfWeek,WeekNum
42005.8125,"Entity[""City"", {""KeyWest"", ""Florida"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Florida"", ""UnitedStates""}]","GeoPosition[{24.565176, -81.7757937}]",fireball,"Quantity[5, ""Minutes""]","Fireballs (4) of low altitude moving relatively slow, equal distances apart, and all ascending into the sky towards Cuba. No audible s",1,5,1
42005.82292,"Entity[""City"", {""TwinFalls"", ""Idaho"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Idaho"", ""UnitedStates""}]","GeoPosition[{42.5628154, -114.4639881}]",fireball,"Quantity[15, ""Minutes""]",4 red fireballs sighted near Snake River Canyon rim.,1,5,1
42005.82639,"Entity[""City"", {""Denver"", ""Colorado"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Colorado"", ""UnitedStates""}]","GeoPosition[{39.7618487, -104.8806251}]",fireball,"Quantity[5, ""Minutes""]","Intelligent burning fireball over University Hills/ Denver, CO.",1,5,1
42005.83333,"Entity[""City"", {""WinterSprings"", ""Florida"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Florida"", ""UnitedStates""}]","GeoPosition[{28.6880646, -81.2699617}]",fireball,"Quantity[20, ""Seconds""]",Single orange fireball with trail traveling northeast to southeast.,1,5,1
42005.875,"Entity[""City"", {""Victorville"", ""California"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""California"", ""UnitedStates""}]","GeoPosition[{34.5277346, -117.3535789}]",light,"Quantity[1, ""Minutes""]",Bright light flashing into second story apartment before disappearing.,1,5,1
42005.89236,"Entity[""City"", {""Washington"", ""DistrictOfColumbia"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""DistrictOfColumbia"", ""UnitedStates""}]","GeoPosition[{38.9041485, -77.0170942}]",other,"Quantity[2, ""Minutes""]","2 glowing orange crafts, in the shape of hang-gliders, passed across the sky.",1,5,1
42005.90625,"Entity[""City"", {""PacificGrove"", ""California"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""California"", ""UnitedStates""}]","GeoPosition[{36.6224077, -121.9258771}]",sphere,"Quantity[3, ""Minutes""]",Two red-orange spheres headed west. Moved very slowly and gradually faded out of sight over the ocean.,1,5,1
42006.00347,"Entity[""City"", {""Durham"", ""NorthCarolina"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""NorthCarolina"", ""UnitedStates""}]","GeoPosition[{35.9809638, -78.9056471}]",fireball,"Quantity[20, ""Seconds""]",3 red orbs traveling quickly across the night sky. Disappeared within 30 sec. of sighting.,2,6,1
42006.08333,"Entity[""City"", {""Waynesville"", ""Missouri"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Missouri"", ""UnitedStates""}]","GeoPosition[{37.820695, -92.2199321}]",formation,"Quantity[2, ""Minutes""]",Slowly rotating group of lights hovering with car.,2,6,1
42006.09375,"Entity[""City"", {""NorthCharleston"", ""SouthCarolina"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""SouthCarolina"", ""UnitedStates""}]","GeoPosition[{32.9173424, -80.0651497}]","Missing[""NotAvailable""]","Quantity[3, ""Minutes""]",Strange light in sky sitting still not moving Strange aura or haze around it,2,6,1
42006.11667,"Entity[""City"", {""WestBabylon"", ""NewYork"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""NewYork"", ""UnitedStates""}]","GeoPosition[{40.7108546, -73.3584019}]","Missing[""NotAvailable""]","Quantity[2, ""Seconds""]",Red to blue streak.,2,6,1
42006.25625,"Entity[""City"", {""NorthKingstown"", ""RhodeIsland"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""RhodeIsland"", ""UnitedStates""}]","GeoPosition[{41.5741023, -71.4538675}]",light,"Quantity[30, ""Seconds""]",2 separate sightings of medium brightness star lights traveling at high speed and great distance and making 90deg turns,2,6,1
42006.63889,"Entity[""City"", {""Cary"", ""NorthCarolina"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""NorthCarolina"", ""UnitedStates""}]","GeoPosition[{35.7821217, -78.8140795}]",triangle,"Quantity[2, ""Minutes""]","Triangular craft, Cary, NC.",2,6,1
42006.70833,"Entity[""City"", {""DeBary"", ""Florida"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Florida"", ""UnitedStates""}]","GeoPosition[{28.8813982, -81.3242702}]",oval,"Quantity[3, ""Minutes""]","In daylight, oval object traveled across sky from west to east flashing a red light at irregular intervals - Volusia County, FL.",2,6,1
42006.82292,"Entity[""City"", {""TwinFalls"", ""Idaho"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Idaho"", ""UnitedStates""}]","GeoPosition[{42.5628154, -114.4639881}]",fireball,"Quantity[15, ""Minutes""]",4 red fireballs near Snake River Canyon.,2,6,1
42006.875,"Entity[""City"", {""Kennewick"", ""Washington"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Washington"", ""UnitedStates""}]","GeoPosition[{46.198265, -119.1736446}]",light,"Quantity[3, ""Minutes""]",Reddish orange triangular pattern of lights.,2,6,1
42006.91667,"Entity[""City"", {""Lima"", ""Ohio"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Ohio"", ""UnitedStates""}]","GeoPosition[{40.7406793, -84.1120905}]",diamond,"Quantity[15, ""Minutes""]","Witness a strange event on 1-2-2015 (Lima, Ohio) There was 3 of them. Did not appear large. They all had mostly steady red lights wit",2,6,1
42006.95833,"Entity[""City"", {""Nampa"", ""Idaho"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Idaho"", ""UnitedStates""}]","GeoPosition[{43.582381, -116.5638753}]","Missing[""NotAvailable""]","Quantity[3, ""Minutes""]",Saw 9 red lights disappear...so scared.,2,6,1
42007.05208,"Entity[""City"", {""Tucson"", ""Arizona"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Arizona"", ""UnitedStates""}]","GeoPosition[{32.1542888, -110.8710622}]",circle,"Quantity[6, ""Minutes""]","These were 6 or 8 ORBS, not just lights.",3,7,1
42007.75,"Entity[""City"", {""SanRafael"", ""California"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""California"", ""UnitedStates""}]","GeoPosition[{37.9810032, -122.5069297}]",other,"Quantity[7, ""Seconds""]","UFO over San Rafael (Sorry. I entered the wrong year in first report, please delete it).",3,7,1
42007.79167,"Entity[""City"", {""SanAntonio"", ""Texas"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Texas"", ""UnitedStates""}]","GeoPosition[{29.4724026, -98.5251419}]",light,"Quantity[5, ""Minutes""]",8 lights in the sky.,3,7,1
42007.81944,"Entity[""City"", {""Torrance"", ""California"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""California"", ""UnitedStates""}]","GeoPosition[{33.8349663, -118.3414307}]",disk,"Quantity[30, ""Minutes""]",Bright UFO saucer with two red lights on the bottom.,3,7,1
42007.83681,"Entity[""City"", {""MelbourneBeach"", ""Florida"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Florida"", ""UnitedStates""}]","GeoPosition[{28.0668687, -80.559603}]",fireball,"Quantity[5, ""Minutes""]","Burning object seen falling, then glowing red, and flying over night sky in Melbourne Beach.",3,7,1
42007.84375,"Entity[""City"", {""Blackshear"", ""Georgia"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Georgia"", ""UnitedStates""}]","GeoPosition[{31.2993698, -82.243468}]",flash,"Quantity[5, ""Minutes""]",Flashing light moving erratically.,3,7,1
42007.875,"Entity[""City"", {""Columbus"", ""Indiana"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Indiana"", ""UnitedStates""}]","GeoPosition[{39.209684, -85.9178016}]",circle,"Quantity[3, ""Minutes""]",Orange ball crossing sky south of Camp Atturbury.,3,7,1
42007.875,"Entity[""City"", {""HughesSprings"", ""Texas"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Texas"", ""UnitedStates""}]","GeoPosition[{32.9986731, -94.6310625}]",circle,"Quantity[10, ""Minutes""]",Immediately saw red lights in the Southwest sky.,3,7,1
42007.875,"Entity[""City"", {""HughesSprings"", ""Texas"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Texas"", ""UnitedStates""}]","GeoPosition[{32.9986731, -94.6310625}]",circle,"Quantity[10, ""Minutes""]",Observed approximately twenty-five red/orange flying objects or balls of light in sky.,3,7,1
42007.90625,"Entity[""City"", {""Glendale"", ""Arizona"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Arizona"", ""UnitedStates""}]","GeoPosition[{33.5331113, -112.1899006}]",oval,"Missing[""NoInput""]","5 white dots flashing in the sky in a ""Y"" formation at 9:45 pm..",3,7,1
42007.90625,"Entity[""City"", {""Woodstock"", ""Vermont"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Vermont"", ""UnitedStates""}]","GeoPosition[{43.62344, -72.5130031}]",oval,"Quantity[3, ""Minutes""]",Second time I've seen this. Silent orange glowing ball moving in straight line at slow speed making 90 degree turns. No flashes.,3,7,1
42007.91667,"Entity[""City"", {""Austin"", ""Texas"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Texas"", ""UnitedStates""}]","GeoPosition[{30.3071816, -97.7559964}]",light,"Quantity[5, ""Minutes""]","Reddish lights or fireballs seen moving from west to east in Austin, Texas.",3,7,1
42007.92014,"Entity[""City"", {""FortBragg"", ""California"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""California"", ""UnitedStates""}]","GeoPosition[{39.4410694, -123.8036201}]",light,"Quantity[5, ""Minutes""]","5 lights hovering over Fort Bragg, CA.",3,7,1
42007.93056,"Entity[""City"", {""FortBragg"", ""California"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""California"", ""UnitedStates""}]","GeoPosition[{39.4410694, -123.8036201}]",fireball,"Quantity[10, ""Minutes""]","4 glowing orange lights spotted in northern sky above Fort Bragg, California.",3,7,1
42008.76389,"Entity[""City"", {""Spring"", ""Texas"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Texas"", ""UnitedStates""}]","GeoPosition[{30.0621687, -95.3839657}]",fireball,"Quantity[8, ""Minutes""]",3 red glowing lights fireball objects moving north to south in Houston area moving about 2 minutes apart in same flight path.,4,1,2
42008.77083,"Entity[""City"", {""Talent"", ""Oregon"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Oregon"", ""UnitedStates""}]","GeoPosition[{42.2404208, -122.7811044}]",light,"Quantity[5, ""Minutes""]","A bright orange light came up over the horizon going up into the sky, it stopped and hovered. it then jolted right and diagonal left, t",4,1,2
42008.8125,"Entity[""City"", {""Bend"", ""Oregon"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Oregon"", ""UnitedStates""}]","GeoPosition[{44.0564303, -121.3080238}]",light,"Quantity[30, ""Seconds""]","A small, flame-colored light flew over Pilot Butte in Bend.",4,1,2
42008.90625,"Entity[""City"", {""Tucson"", ""Arizona"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Arizona"", ""UnitedStates""}]","GeoPosition[{32.1542888, -110.8710622}]",formation,"Quantity[2, ""Minutes""]",4 big bright orbs. Tuned on and off like the flip of a switch. 3 formed a triangle and a 4th one joined; all disappeared.,4,1,2
42008.91667,"Entity[""City"", {""Toledo"", ""Ohio"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Ohio"", ""UnitedStates""}]","GeoPosition[{41.664071, -83.5818608}]",light,"Quantity[15, ""Seconds""]",Bright orange light moved back and forth over toledo 4 to 5 times then disappeared.,4,1,2
42009.04167,"Entity[""City"", {""Plymouth"", ""Michigan"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Michigan"", ""UnitedStates""}]","GeoPosition[{42.3712455, -83.4676165}]",formation,"Quantity[5, ""Minutes""]",3 Large Orbs and 1 small orb floated over me. No sound.,5,2,2
42009.30417,"Entity[""City"", {""Conyers"", ""Georgia"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Georgia"", ""UnitedStates""}]","GeoPosition[{33.6566258, -83.9823612}]",light,"Quantity[3, ""Minutes""]","Object seen flying over interstate, increasing in brightness, then vanishing into thin air.",5,2,2
42009.65486,"Entity[""City"", {""GlenBurnie"", ""Maryland"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Maryland"", ""UnitedStates""}]","GeoPosition[{39.1562712, -76.6069956}]",cylinder,"Quantity[45, ""Seconds""]",Silver cigar shaped object spotted in Maryland,5,2,2
42009.75,"Entity[""City"", {""GardenCity"", ""Utah"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Utah"", ""UnitedStates""}]","GeoPosition[{41.9365589, -111.4115845}]","Missing[""NotAvailable""]","Quantity[4, ""Minutes""]",Whitish orb changing shape hovering over Bear Lake.,5,2,2
42009.8125,"Entity[""City"", {""DrexelHill"", ""Pennsylvania"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Pennsylvania"", ""UnitedStates""}]","GeoPosition[{39.9495012, -75.3038803}]","Missing[""NotAvailable""]","Missing[""NoInput""]",((HOAX??)) Lights floating down like parachutes.,5,2,2
42009.83333,"Entity[""City"", {""Birmingham"", ""Alabama"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Alabama"", ""UnitedStates""}]","GeoPosition[{33.5274441, -86.799047}]",light,"Quantity[2, ""Minutes""]",Disappearing star.,5,2,2
42009.83333,"Entity[""City"", {""Highland"", ""California"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""California"", ""UnitedStates""}]","GeoPosition[{34.1112424, -117.164746}]",fireball,"Quantity[5, ""Minutes""]",A large glowing burning object which floated slowly at first in the upper atmosphere then glided to earth still on fire.,5,2,2
42009.87431,"Entity[""City"", {""Cottonwood"", ""Arizona"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Arizona"", ""UnitedStates""}]","GeoPosition[{34.7197469, -112.0012524}]",fireball,"Quantity[45, ""Seconds""]",Bright fire ball rising in the sky. It swerved and disappeared.,5,2,2
42010.25,"Entity[""City"", {""Chicago"", ""Illinois"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Illinois"", ""UnitedStates""}]","GeoPosition[{41.8375511, -87.6818441}]",changing,"Quantity[30, ""Minutes""]",Very bright moving over one another.,6,3,2
42010.28819,"Entity[""City"", {""Arcadia"", ""California"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""California"", ""UnitedStates""}]","GeoPosition[{34.1326887, -118.0363467}]",other,"Quantity[10, ""Minutes""]","Having trouble entering exact time but I'll do it here. 6:55am. Traveling east bound on 210 fwy, between Rosemead blvd/myrtle ave exits",6,3,2
42010.29167,"Entity[""City"", {""Blanchester"", ""Ohio"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Ohio"", ""UnitedStates""}]","GeoPosition[{39.2950471, -83.9729128}]",light,"Missing[""NoInput""]","I was driving to work and I noticed the moon was really bright so I looked up, and when I did I noticed two bizzare lights making a tri",6,3,2
42010.32639,"Entity[""City"", {""Homer"", ""Alaska"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Alaska"", ""UnitedStates""}]","GeoPosition[{59.6399849, -151.5112337}]",other,"Quantity[3, ""Minutes""]","Floating pretzel-shaped object over town, scanning laser.",6,3,2
42010.77083,"Entity[""City"", {""Phoenix"", ""Arizona"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Arizona"", ""UnitedStates""}]","GeoPosition[{33.5721625, -112.0879662}]",triangle,"Quantity[5, ""Seconds""]",Please take seriously.,6,3,2
42010.83333,"Entity[""City"", {""Phoenix"", ""Arizona"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Arizona"", ""UnitedStates""}]","GeoPosition[{33.5721625, -112.0879662}]",light,"Quantity[35, ""Minutes""]",Slow moving high altitude bright flashing light changing red to blue to green to yellow colors.,6,3,2
42010.83333,"Entity[""City"", {""Watsonville"", ""California"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""California"", ""UnitedStates""}]","GeoPosition[{36.9196077, -121.7702498}]",triangle,"Quantity[10, ""Minutes""]","I seen 1 triangle shaped red glowing craft with no blinkers and could stop and go at will..was definitely intelligently driven, and was",6,3,2
42010.90972,"Entity[""City"", {""Vandalia"", ""Ohio"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Ohio"", ""UnitedStates""}]","GeoPosition[{39.8789685, -84.1922372}]",disk,"Missing[""NoInput""]","I look to my right, and see TWO bright lights (one flying object).",6,3,2
42010.9125,"Entity[""City"", {""BuenaPark"", ""California"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""California"", ""UnitedStates""}]","GeoPosition[{33.8567609, -118.0046224}]","Missing[""NotAvailable""]","Quantity[45, ""Seconds""]",It red or orange in color was dropping debris that looked like it was in fire. (there was no tail) The debris fell straight down. It fl,6,3,2
42011.23958,"Entity[""City"", {""CollegeStation"", ""Texas"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Texas"", ""UnitedStates""}]","GeoPosition[{30.588623, -96.2960096}]",oval,"Quantity[1, ""Minutes""]",Bright white light in illuminating cloud in southern sky,7,4,2
42011.27083,"Entity[""City"", {""Lakeland"", ""Florida"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""Florida"", ""UnitedStates""}]","GeoPosition[{28.0559644, -81.9536823}]",light,"Quantity[8, ""Seconds""]",All of a sudden what I thought was an airplane in the distance was right in front of me with Blue & Red lights.,7,4,2
42011.28472,"Entity[""City"", {""Montara"", ""California"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""California"", ""UnitedStates""}]","GeoPosition[{37.5482577, -122.4923687}]","Missing[""NotAvailable""]","Quantity[40, ""Seconds""]",Unidentified object in Montara sky.,7,4,2
42011.68056,"Entity[""City"", {""Montara"", ""California"", ""UnitedStates""}]","Entity[""AdministrativeDivision"", {""California"", ""UnitedStates""}]","GeoPosition[{37.5482577, -122.4923687}]",diamond,"Quantity[2.5, ""Minutes""]",Unidentified lighted diamond shaped blue glowing object zig zagging; then disappeared over San Mateo coast.,7,4,2
